Proverbs,1,1-6,"These are the wise sayings of Solomon,
David’s son, Israel’s king—
Written down so we’ll know how to live well and right,
to understand what life means and where it’s going;
A manual for living,
for learning what’s right and just and fair;
To teach the inexperienced the ropes
and give our young people a grasp on reality.
There’s something here also for seasoned men and women,
still a thing or two for the experienced to learn—
Fresh wisdom to probe and penetrate,
the rhymes and reasons of wise men and women."
Proverbs,1,7,"Start with GOD—the first step in learning is bowing down to GOD;
only fools thumb their noses at such wisdom and learning."
Proverbs,1,8-19,"Pay close attention, friend, to what your father tells you;
never forget what you learned at your mother’s knee.
Wear their counsel like a winning crown,
like rings on your fingers.
Dear friend, if bad companions tempt you,
don’t go along with them.
If they say—“Let’s go out and raise some hell.
Let’s beat up some old man, mug some old woman.
Let’s pick them clean
and get them ready for their funerals.
We’ll load up on top-quality loot.
We’ll haul it home by the truckload.
Join us for the time of your life!
With us, it’s share and share alike!”—
Oh, friend, don’t give them a second look;
don’t listen to them for a minute.
They’re racing to a very bad end,
hurrying to ruin everything they lay hands on.
Nobody robs a bank
with everyone watching,
Yet that’s what these people are doing—
they’re doing themselves in.
When you grab all you can get, that’s what happens:
the more you get, the less you are."
Proverbs,1,20-21,"Lady Wisdom goes out in the street and shouts.
At the town center she makes her speech.
In the middle of the traffic she takes her stand.
At the busiest corner she calls out"
Proverbs,1,22-24,"“Simpletons! How long will you wallow in ignorance?
Cynics! How long will you feed your cynicism?
Idiots! How long will you refuse to learn?
About face! I can revise your life.
Look, I’m ready to pour out my spirit on you;
I’m ready to tell you all I know.
As it is, I’ve called, but you’ve turned a deaf ear;
I’ve reached out to you, but you’ve ignored me."
Proverbs,1,25-28,"“Since you laugh at my counsel
and make a joke of my advice,
How can I take you seriously?
I’ll turn the tables and joke about your troubles!
What if the roof falls in,
and your whole life goes to pieces?
What if catastrophe strikes and there’s nothing
to show for your life but rubble and ashes?
You’ll need me then. You’ll call for me, but don’t expect an answer.
No matter how hard you look, you won’t find me."
Proverbs,1,29-33,"“Because you hated Knowledge
and had nothing to do with the Fear-of-GOD,
Because you wouldn’t take my advice
and brushed aside all my offers to train you,
Well, you’ve made your bed—now lie in it;
you wanted your own way—now, how do you like it?
Don’t you see what happens, you simpletons, you idiots?
Carelessness kills; complacency is murder.
First pay attention to me, and then relax.
Now you can take it easy—you’re in good hands.”"
Proverbs,2,1-5,"Good friend, take to heart what I’m telling you;
collect my counsels and guard them with your life.
Tune your ears to the world of Wisdom;
set your heart on a life of Understanding.
That’s right—if you make Insight your priority,
and won’t take no for an answer,
Searching for it like a prospector panning for gold,
like an adventurer on a treasure hunt,
Believe me, before you know it Fear-of-GOD will be yours;
you’ll have come upon the Knowledge of God."
Proverbs,2,6-8,"And here’s why: GOD gives out Wisdom free,
is plainspoken in Knowledge and Understanding.
He’s a rich mine of Common Sense for those who live well,
a personal bodyguard to the candid and sincere.
He keeps his eye on all who live honestly,
and pays special attention to his loyally committed ones."
Proverbs,2,9-15,"So now you can pick out what’s true and fair,
find all the good trails!
Lady Wisdom will be your close friend,
and Brother Knowledge your pleasant companion.
Good Sense will scout ahead for danger,
Insight will keep an eye out for you.
They’ll keep you from making wrong turns,
or following the bad directions
Of those who are lost themselves
and can’t tell a trail from a tumbleweed,
These losers who make a game of evil
and throw parties to celebrate perversity,
Traveling paths that go nowhere,
wandering in a maze of detours and dead ends."
Proverbs,2,16-19,"Wise friends will rescue you from the Temptress—
that smooth-talking Seductress
Who’s faithless to the husband she married years ago,
never gave a second thought to her promises before God.
Her whole way of life is doomed;
every step she takes brings her closer to hell.
No one who joins her company ever comes back,
ever sets foot on the path to real living."
Proverbs,2,20-22,"So—join the company of good men and women,
keep your feet on the tried-and-true paths.
It’s the men who walk straight who will settle this land,
the women with integrity who will last here.
The corrupt will lose their lives;
the dishonest will be gone for good."
Proverbs,3,1-2,"Good friend, don’t forget all I’ve taught you;
take to heart my commands.
They’ll help you live a long, long time,
a long life lived full and well."
