Luke,1,1,Many people have written about the things that have happened in our country.
Luke,1,2,Some people were present when these things started to happen. They saw everything that happened and they told us about it. They are the people who wrote down the Good News for us.
Luke,1,3,"I have checked the facts about what really happened. So now, I know about all the things that happened from the beginning. I am writing to make the facts clear to you, my important friend Theophilus."
Luke,1,4,People have already taught you about these things. Now you can be sure that they are true.
Luke,1,5,There was a man whose name was Zechariah. He lived when Herod was king of Judea. Zechariah was a priest and he belonged to a group of priests from the family of Abijah. He had a wife called Elizabeth. She also was from the family of the priest called Aaron.
Luke,1,6,Zechariah and Elizabeth obeyed God's commands and rules. God saw that they were righteous people. They did not do wrong things.
Luke,1,7,But they had no children. Elizabeth could not give birth and they were both getting old.
Luke,1,8,"One day, Zechariah's group of priests was working at the temple. He had a special job to do there."
Luke,1,9,The priests chose one of their group to go into the holy place in the temple. This time they chose Zechariah. His job was to burn incense there.
Luke,1,10,"While Zechariah was burning incense in the special room, many men were outside in the yard. They were praying to God."
Luke,1,11,"The incense was burning on a special altar, when one of God's angels appeared to Zechariah. The angel was standing at the right hand side of the altar."
Luke,1,12,"When Zechariah saw the angel, he was very surprised and very afraid."
Luke,1,13,"The angel said to him, ‘Zechariah, do not be afraid. God has heard what you prayed. He will give you what you asked for. Your wife Elizabeth will give birth to a baby boy. You will give him the name “John”."
Luke,1,14,"He will be very important to the Lord God. So he will make you very happy. Many other people will also be very happy because he has been born. He must never drink anything with alcohol in it. From the time that he is born, the Holy Spirit will live inside him."
Luke,1,15,"He will be very important to the Lord God. So he will make you very happy. Many other people will also be very happy because he has been born. He must never drink anything with alcohol in it. From the time that he is born, the Holy Spirit will live inside him."
Luke,1,16,He will teach many people in Israel. Then they will turn their lives back to the Lord their God and they will obey God again.
Luke,1,17,John will prepare the people for the Lord to come to them. The Holy Spirit will lead John as he led Elijah. John will do powerful things as Elijah did. He will help fathers to love their children. He will teach people who do not obey God. Then they will know what things are right. And they will do them. Then they will be ready when the Lord comes.’
Luke,1,18,"Zechariah asked the angel, ‘How can I be sure about this? You know that I am an old man. My wife is also old.’"
Luke,1,19,"The angel answered, ‘I am called Gabriel. My place is to stand in front of God. I am always ready to work for God. He has sent me to speak to you. He told me that I should tell you this good news."
Luke,1,20,"Now listen to me. Because you did not believe my message, you will not be able to speak. You will not speak again until the time that your son is born. My message will really become true at the right time.’"
Luke,1,21,"While this was happening, the people outside were waiting for Zechariah. They were thinking, ‘Why has Zechariah stayed for such a long time in the special room? Why has he not come out yet?’"
Luke,1,22,"When he did come out, he tried to talk to them. But he could not speak. So they knew that God had showed him something special in the room. He was moving his head and his hands about, to tell them what had happened. But still he could not speak."
Luke,1,23,"When Zechariah had finished his work in the temple, he returned home."
Luke,1,24,"Soon, a baby was growing inside his wife Elizabeth. She stayed in her house for five months."
Luke,1,25,"‘The Lord has now given me a baby,’ she said. ‘He has been kind to me. Because of this, other people cannot say bad things about me now.’"
Luke,1,26,"When Elizabeth's baby had grown inside her for nearly six months, God sent the angel Gabriel to Nazareth. Nazareth is a town in Galilee."
Luke,1,27,Gabriel went there to visit a young woman. Her name was Mary. She had never had sex with anyone. She had promised to marry a man called Joseph. He belonged to the family of King David.
Luke,1,28,"Gabriel went to Mary and said, ‘Hello, Mary. The Lord God loves you very much. He is very near to you.’"
Luke,1,29,Mary had a lot of problems in her mind about Gabriel's message. She did not understand what he meant.
Luke,1,30,"Then Gabriel said to her, ‘Do not be afraid, Mary. God has been kind to you."
Luke,1,31,"Listen! A baby boy will grow inside you. When he is born, you will call him Jesus."
Luke,1,32,He will be great. People will call him the Son of the powerful God who is over all. The Lord God will make him king. He will rule as his ancestor King David ruled.
Luke,1,33,"He will rule over the family of Jacob for all time. He will be king for all time, without end.’"
Luke,1,34,"Mary asked, ‘How can this happen? I have never had sex with anyone.’"
Luke,1,35,"Gabriel answered, ‘The Holy Spirit will come to you. The power of God who is over all will cover you like a shadow. So your child will be special to God. He will be completely good. He will be called God's Son."
Luke,1,36,"Another thing! Your cousin, Elizabeth, is very old. People said that she could not have a baby. Listen! She also will have a son. The baby has grown inside her now for nearly six months."
Luke,1,37,There is nothing that God cannot do.’
Luke,1,38,"Mary answered, ‘I am the servant of the Lord. I have heard what you have said. I want it to happen to me just like that.’ Then the angel left her."
Luke,1,39,"After that, Mary prepared herself to travel. She hurried to a town in the hills of Judea."
Luke,1,40,"When she arrived at the home of Zechariah, she said ‘hello’ to Elizabeth."
Luke,1,41,"When Elizabeth heard Mary speak, she felt her baby move quickly inside her. The Holy Spirit filled her."
Luke,1,42,"She spoke to Mary in a loud voice, ‘God has made you very happy. He has been good and kind to you more than to other women. He has also been good and kind to your baby."
Luke,1,43,You are the mother of my Lord and I am not an important person. So it is very good that you have visited me.
Luke,1,44,"Listen! When I heard you say, “Hello” to me, my baby moved quickly inside me. He was very happy."
Luke,1,45,"The Lord has told you what will happen. And you believed what he told you. Because of that, God has made you a happy person.’"
Luke,1,46,"Then Mary said,
‘All of me wants to praise God and say,
“Lord, how good and great you are!”"
Luke,1,47,I thank God because he is the one who saves me.
Luke,1,48,"I know that I am not an important person.
God knows this, and he has been kind to me.
Listen! From now on, all people will say that God has made me happy."
Luke,1,49,"Yes, God has done great things for me.
He is very powerful and strong. He is good in every way."
Luke,1,50,"He is kind to people who respect and obey him.
He will always be kind to people like that."
Luke,1,51,"He has shown how strong he is to do great things.
Some people think that they are very important.
But he has sent them away in different directions."
Luke,1,52,"Some people were ruling countries.
But he has taken their power away from them.
He has given power to people who do not feel important."
Luke,1,53,"He has fed hungry people with good things to eat.
But he has sent rich people away with nothing."
Luke,1,54,"He promised that he would be kind to his people, Israel.
Now he has come and helped them."
Luke,1,55,"He made a promise to Abraham and to our other ancestors.
Now he has done what he promised.’"
Luke,1,56,Mary stayed with Elizabeth for about three months. Then she returned to her home.
Luke,1,57,The time arrived for Elizabeth to have her baby. She had a son.
